x,y
287,439
317,439
347,439
317,439
287,439
317,439
287,439
257,439
257,439
287,439
257,439
227,439
257,439
227,439
197,439
197,439
197,439
167,439
137,439
137,439
137,439
167,439
197,439
197,439
167,439
197,439
197,439
197,439
197,439
167,439
167,439
137,439
137,469
137,439
137,469
137,499
167,499
197,499
227,499
227,499
197,499
197,499
227,499
197,499
227,499
197,499
227,499
197,499
197,499
227,499
257,499
227,499
227,499
227,499
257,499
257,529
257,559
227,559
227,559
257,559
257,529
257,559
227,559
227,559
257,559
257,529
257,529
257,559
287,559
317,559
287,559
317,559
287,559
257,559
227,559
197,559
167,559
137,559
167,559
137,559
137,559
107,559
107,559
107,559
77,559
107,559
77,559
107,559
77,559
47,559
17,559
17,529
17,499
17,469
17,439
17,439
17,409
17,379
17,409
17,439
17,409
17,409
17,439
17,439
17,409
17,409
17,379
17,349
17,319
17,319
47,319
77,319
47,319
47,319
77,319
47,319
77,319
77,319
77,319
77,289
77,259
77,229
77,199
77,169
77,199
77,229
77,199
77,199
77,169
77,169
77,199
77,199
77,199
77,169
77,139
107,139
107,139
107,139
107,139
137,139
137,109
137,79
107,79
107,79
137,79
137,109
137,139
137,109
137,109
137,109
137,139
137,109
137,139
137,139
137,139
107,139
107,139
137,139
167,139
167,139
197,139
227,139
227,139
227,139
257,139
257,169
257,169
257,169
257,169
257,169
257,169
257,169
257,169
257,169
257,139
227,139
257,139
257,139
257,169
257,169
257,199
227,199
227,199
257,199
257,169
257,139
227,139
257,139
227,139
227,139
197,139
167,139
167,139
167,139
197,139
167,139
137,139
137,109
137,79
137,79
107,79
137,79
137,109
137,79
137,79
107,79
107,79
77,79
47,79
47,79
47,79
17,79
17,79
17,79
47,79
77,79
47,79
47,79
47,79
17,79
47,79
17,79
17,49
17,19
47,19
17,19
17,19
47,19
47,19
17,19
47,19
77,19
107,19
137,19
137,19
137,19
137,19
167,19
167,19
167,19
197,19
197,19
197,19
197,19
167,19
197,19
197,19
197,19
197,19
167,19
197,19
167,19
197,19
227,19
257,19
257,19
257,19
257,19
257,49
257,49
257,79
287,79
287,79
287,79
287,79
257,79
287,79
317,79
317,49
317,19
317,49
317,19
317,19
347,19
377,19
347,19
317,19
317,49
317,79
317,49
317,49
317,19
317,19
317,19
317,19
317,19
317,19
347,19
347,19
377,19
407,19
407,19
437,19
437,19
407,19
437,19
467,19
437,19
437,19
437,19
467,19
467,19
467,19
497,19
527,19
557,19
527,19
497,19
527,19
557,19
557,49
557,19
557,49
557,79
527,79
557,79
557,79
527,79
527,79
557,79
527,79
527,79
497,79
497,79
527,79
527,79
497,79
467,79
467,79
437,79
437,109
437,139
467,139
497,139
467,139
497,139
467,139
437,139
437,109
437,79
437,79
467,79
437,79
437,109
437,109
437,109
437,139
467,139
467,139
437,139
407,139
437,139
437,109
437,79
437,79
437,79
437,109
437,139
437,109
437,139
437,109
437,79
437,109
437,109
437,109
437,79
437,109
437,109
437,79
437,79
407,79
377,79
377,79
377,79
377,79
377,79
407,79
407,79
407,79
407,79
377,79
377,79
347,79
377,79
407,79
407,79
407,79
407,79
437,79
437,109
437,79
437,79
437,109
437,79
437,109
437,109
437,139
407,139
407,139
377,139
377,139
377,139
347,139
347,139
377,139
377,139
407,139
407,139
437,139
407,139
407,139
437,139
437,109
437,139
467,139
437,139
