x,y
287,439
287,439
317,439
347,439
347,439
317,439
287,439
317,439
317,439
317,439
317,439
347,439
377,439
407,439
437,439
437,439
437,469
437,439
437,469
437,499
467,499
437,499
437,469
437,499
467,499
497,499
467,499
497,499
497,529
497,559
467,559
467,559
437,559
407,559
377,559
407,559
377,559
347,559
317,559
317,559
287,559
257,559
287,559
317,559
287,559
287,559
257,559
287,559
317,559
287,559
287,559
257,559
257,559
227,559
227,559
197,559
167,559
167,559
137,559
167,559
137,559
107,559
107,559
137,559
137,559
167,559
197,559
197,559
227,559
227,559
197,559
227,559
257,559
257,559
257,529
257,529
257,559
227,559
197,559
197,559
167,559
197,559
167,559
167,559
137,559
107,559
107,559
77,559
47,559
47,559
47,559
47,559
77,559
47,559
17,559
47,559
17,559
47,559
17,559
17,559
17,559
17,559
17,529
17,559
17,529
17,499
17,499
17,499
17,469
17,439
17,409
17,439
17,439
17,469
17,439
17,469
17,439
17,469
